date,nav,scheme_code,scheme_name,fund_house
04-08-2025,108.11490,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
01-08-2025,107.35970,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
31-07-2025,108.43050,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
30-07-2025,108.85990,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
29-07-2025,108.51680,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
28-07-2025,107.87240,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
25-07-2025,108.76300,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
24-07-2025,109.84160,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
23-07-2025,110.26800,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
22-07-2025,109.74370,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
21-07-2025,109.70980,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
18-07-2025,108.78000,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
17-07-2025,109.31170,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
16-07-2025,109.47520,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
15-07-2025,109.48950,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
14-07-2025,108.82700,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
11-07-2025,108.67370,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
10-07-2025,109.73230,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
09-07-2025,110.29360,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
08-07-2025,110.16490,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
07-07-2025,109.97830,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
04-07-2025,110.13300,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
03-07-2025,109.87420,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
02-07-2025,110.22670,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
01-07-2025,110.58800,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
30-06-2025,110.68450,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
27-06-2025,110.74000,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
26-06-2025,110.23550,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
25-06-2025,109.36920,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
24-06-2025,108.53190,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
23-06-2025,107.95430,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
20-06-2025,108.15140,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
19-06-2025,106.64820,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
18-06-2025,107.27750,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
17-06-2025,107.53740,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund
